,type,id,var_noise,initial_SNR,visu_SNR,sure_SNR,bayes_SNR,spc3_SNR,cusum_SNR,cusum2_SNR
0,NSR,0,0.002,425593845.24511695,-53.072155581522296,-50.333935482814375,-51.268431556063454,-78.89607844567202,-84.31104957256053,-67.5865194060089
1,NSR,0,0.004,109350003.96104933,-47.170323719234474,-44.43219616644153,-45.366684424171524,-72.99431228076055,-78.40928397638713,-61.684747121367536
2,NSR,0,0.006,49516600.24628933,-43.72980773516234,-40.9916463868374,-41.922471348984025,-69.55362643327442,-74.96860241384118,-58.244072739968104
3,NSR,0,0.008,26223629.11932013,-40.969258255180534,-38.23382278410128,-39.16377493569874,-66.7929306236931,-72.20802485250212,-55.48349376515483
4,NSR,0,0.01,15832630.079170294,-38.8417546317091,-36.039983747967945,-36.97257606704629,-64.60163056431065,-70.01661951233277,-53.29207887596092
5,NSR,1,0.002,352650451.23606396,-53.06370759481076,-49.414933623895664,-51.30768620312025,-81.98810483889025,-83.61180007593133,-64.7828886839857
6,NSR,1,0.004,80254049.32366042,-46.634956432961914,-42.97688753847072,-44.87722969896804,-75.55933096956359,-77.18302587831774,-58.35410939358782
7,NSR,1,0.006,40782884.89409602,-43.63821389645592,-40.041741171761835,-41.80395061906938,-72.61943901578958,-74.24313450735471,-55.41422630691557
8,NSR,1,0.008,20493935.86360743,-40.763367219880855,-36.727108031362654,-39.10975526108214,-69.63091157217893,-71.25460760556169,-52.425727317547775
9,NSR,1,0.01,13825489.216770364,-38.94069067140583,-34.78192251475734,-37.10806566061858,-67.92146238460313,-69.54515857876147,-50.71628056034047
10,NSR,2,0.002,413202940.6343638,-53.31511329437497,-50.22760910521705,-51.7625070086021,-79.03065513500937,-83.3075490346472,-68.99362698108065
11,NSR,2,0.004,105101789.08819841,-47.399714570262105,-44.282090449680204,-45.81702289582988,-73.08512540403676,-77.36201728447396,-63.04811789658259
12,NSR,2,0.006,45186186.84399448,-43.73371336188047,-40.57909149572025,-42.15105687302344,-69.41907441946084,-73.69597057557019,-59.38206632151879
13,NSR,2,0.008,24903897.334039662,-41.14620086061399,-38.0362895117611,-39.563769928676194,-66.83170728532916,-71.10859298647625,-56.79468233500557
14,NSR,2,0.01,16509200.450498402,-39.331021650454765,-35.632187364258066,-37.77672148370499,-65.04628574108406,-69.32317697129366,-55.00923300527493
15,NSR,3,0.002,557759618.4086242,-55.217200019141835,-43.4353919448919,-53.67225148227134,-83.01499276569125,-86.7781836867546,-74.02456976266598
16,NSR,3,0.004,133077062.72447565,-49.026894440100506,-37.89984040985434,-47.44883808283738,-76.79155155093063,-80.55474397624147,-67.80113556838357
17,NSR,3,0.006,58615464.414131045,-45.432914853681694,-33.79940239566287,-43.88794927694939,-73.23067737441232,-76.99384905496295,-64.24021721956572
18,NSR,3,0.008,34880541.60735091,-43.244915766490514,-31.301594330033062,-41.63371405517273,-70.97635188999791,-74.73954418769098,-61.98605077179814
19,NSR,3,0.01,21670952.544994023,-41.177885872886925,-29.430975280706434,-39.56639846430279,-68.90927663255327,-72.67248230136525,-59.918886114988574
20,NSR,4,0.002,640281443.4021081,-54.979441315598905,-42.29821963608745,-52.807535206600804,-82.74566269481491,-87.20908832004385,-72.91930032212537
21,NSR,4,0.004,149414669.72633278,-48.65965288985659,-35.87857735777381,-46.558217113751,-76.42588803176557,-80.8893126766873,-66.59952187842282
22,NSR,4,0.006,66601948.93104557,-45.150665659158015,-36.35705421993506,-42.97879195904093,-72.91682072556227,-77.38024824735542,-63.09045984869138
23,NSR,4,0.008,38381455.35401314,-42.75701705186204,-30.078551218315486,-40.58524524945117,-70.52317263338057,-74.9865945253699,-60.696810771966796
24,NSR,4,0.01,23794071.83913278,-40.712223682970816,-31.764404669419083,-38.86102888763179,-68.44662207049097,-72.91006139326575,-58.62027795914778
25,NSR,5,0.002,664439478.8117398,-53.81203811899777,-47.80920148524046,-51.60590696478697,-86.59399391937781,-87.62950369833554,-74.67800532339326
26,NSR,5,0.004,153078324.01185098,-47.28972511316216,-41.43385819899488,-44.987208566561456,-80.21857603465904,-81.25408691533104,-68.30261091679597
27,NSR,5,0.006,74252498.58090764,-44.1475681540161,-41.017925262789625,-41.612555902562264,-77.07654694899274,-78.11205907357152,-65.16055674627191
28,NSR,5,0.008,37774239.70476914,-41.21241398685045,-35.35722152697781,-38.910143038424756,-74.1413902816341,-75.17690249589316,-62.22540278121541
29,NSR,5,0.01,24915630.82929311,-39.4053896474597,-33.55037714736669,-37.10316506216353,-72.33416625094955,-73.36967517143334,-60.41819079626643
30,NSR,6,0.002,1063401849.0990325,-53.33055215697061,-49.874867034087075,-40.94158377839336,-82.79341530433703,-88.69948212705891,-71.94652224680877
31,NSR,6,0.004,239745534.47524682,-46.79549267319223,-43.40513887332774,-34.26833772726993,-76.32401258432293,-82.23001572140964,-65.47705812277763
32,NSR,6,0.006,112788849.16508466,-43.58622975078734,-40.13034214518922,-30.994716381631918,-73.04910431340761,-78.95517009934287,-62.2022096602366
33,NSR,6,0.008,62100946.18828562,-41.02738982715348,-37.69692113044428,-28.50759830347585,-70.45748113421554,-76.36349055271607,-59.61053046728833
34,NSR,6,0.01,38718300.47811599,-38.94285929372347,-35.45297269598679,-26.618397321122988,-68.40565074531723,-74.31166821785065,-57.558704709779384
35,NSR,7,0.002,972885711.7429708,-53.066651226424256,-47.08278797193174,-43.845744952395094,-82.41606853577223,-87.86329907639946,-72.65169878434133
36,NSR,7,0.004,251937996.0960436,-47.19895532317857,-41.258059812293375,-37.93654286884251,-76.54839118812292,-81.99561732449928,-66.78401859637817
37,NSR,7,0.006,110347200.00999054,-43.61370513400222,-37.66219115024373,-34.39531486836166,-72.96306454314649,-78.41029530002356,-63.198697152636434
38,NSR,7,0.008,66088305.96029438,-41.356653992266516,-35.416712384912366,-31.871332846912072,-70.73669494738661,-76.18392781738508,-60.9723289475411
